variant,split,horizon,average_precision,brier,event_recall,detected_events,eligible_events,samples,independent_groups,feature_names
baseline,validation,5min,0.2209128039674696,0.07774227011910827,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change
baseline,validation,10min,0.2554241264832445,0.13110248616336073,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change
baseline,validation,30min,0.49908357096489775,0.2496675543947295,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change
baseline,test,5min,0.037579749502599506,0.04649709693573871,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change
baseline,test,10min,0.1390910406027204,0.09539874873986587,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change
baseline,test,30min,0.449380307423307,0.2524185584133875,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change
plus_peak_crest,validation,5min,0.18030823035360952,0.07786390497499221,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor
plus_peak_crest,validation,10min,0.2251558843568396,0.1312042581850972,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor
plus_peak_crest,validation,30min,0.45411353016308326,0.2500256832764265,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor
plus_peak_crest,test,5min,0.04094682536117521,0.04660291977683623,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor
plus_peak_crest,test,10min,0.13110899580786,0.09575346347160016,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor
plus_peak_crest,test,30min,0.38661488598721716,0.25371397518283295,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor
plus_stalta,validation,5min,0.2331075813460754,0.07783738582867325,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_stalta_log
plus_stalta,validation,10min,0.26414436062726926,0.13126978288888513,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_stalta_log
plus_stalta,validation,30min,0.4745922453775897,0.25095806424937495,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_stalta_log
plus_stalta,test,5min,0.039538707500769585,0.046615134186759936,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_stalta_log
plus_stalta,test,10min,0.14791804711903855,0.09579170992329986,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_stalta_log
plus_stalta,test,30min,0.4195791751527734,0.25391572161283776,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_stalta_log
plus_energy_q99,validation,5min,0.12222204963898466,0.07780860615083983,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_short_energy_q99_log
plus_energy_q99,validation,10min,0.21640518971324516,0.13135771353913953,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_short_energy_q99_log
plus_energy_q99,validation,30min,0.36422993556808936,0.2506647943522565,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_short_energy_q99_log
plus_energy_q99,test,5min,0.05593895192233861,0.046610424597433066,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_short_energy_q99_log
plus_energy_q99,test,10min,0.09750346105948945,0.09580605170432996,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_short_energy_q99_log
plus_energy_q99,test,30min,0.3045119140205703,0.2539931657376591,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_short_energy_q99_log
plus_overthreshold_count,validation,5min,0.13335225632098577,0.07822162227038235,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_overthreshold_count_log
plus_overthreshold_count,validation,10min,0.22611676579378565,0.13199955284185103,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_overthreshold_count_log
plus_overthreshold_count,validation,30min,0.38803003284938226,0.2517653339716917,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_overthreshold_count_log
plus_overthreshold_count,test,5min,0.04642518827857292,0.04690189090672173,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_overthreshold_count_log
plus_overthreshold_count,test,10min,0.10548947012840687,0.09657176652146247,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_overthreshold_count_log
plus_overthreshold_count,test,30min,0.4994516543770453,0.2529289431042927,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_overthreshold_count_log
plus_all_transient,validation,5min,0.11192842998852548,0.07831196186005948,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor;recent_stalta_log;recent_short_energy_q99_log;recent_overthreshold_count_log
plus_all_transient,validation,10min,0.2077730305187242,0.13210792462579837,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor;recent_stalta_log;recent_short_energy_q99_log;recent_overthreshold_count_log
plus_all_transient,validation,30min,0.35902476716404863,0.25217760109652954,0.0,0,5,589,3,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor;recent_stalta_log;recent_short_energy_q99_log;recent_overthreshold_count_log
plus_all_transient,test,5min,0.046058500061968835,0.04689263081353888,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor;recent_stalta_log;recent_short_energy_q99_log;recent_overthreshold_count_log
plus_all_transient,test,10min,0.11166900212721566,0.09649412822423249,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor;recent_stalta_log;recent_short_energy_q99_log;recent_overthreshold_count_log
plus_all_transient,test,30min,0.4953248550031083,0.2533478083996705,0.0,0,3,672,4,short_log_power_change;short_coherence;log_event_count_6h;log_event_energy_24h;log_minutes_since_event;forecast_log_power_change;recent_peak_log;recent_crest_factor;recent_stalta_log;recent_short_energy_q99_log;recent_overthreshold_count_log
